174447, Fight, 730
174678, Drop, 57
176010, Touch, 1283.9117, 527.01416
176332, Drop, 58
177619, Touch, 253.99109, 319.99878
178677, Fight, 740
179260, Drop, 59
179432, Fight, 750
181861, Touch, 1201.9354, 701.9934
182211, Drop, 60
183553, Touch, 349.9237, 640.9863
184353, Fight, 760
184909, Drop, 61
185376, Fight, 770
186301, Touch, 655.94604, 120.00366
186959, Fight, 780
187266, Fight, 790
188707, Touch, 1570.8966, 563.0054
189543, Drop, 62
189544, Fight, 800
191179, Touch, 361.98303, 895.99
191463, Drop, 63
192689, Drop, 64
194975, Touch, 36.990967, 657.0044
195260, Fight, 810
196494, Fight, 820
197128, Drop, 65
198521, Touch, 1470.899, 96.99829
199742, Drop, 66
200241, Drop, 67
200918, Touch, 1000.9241, 231.00952
201336, Drop, 68
202264, Touch, 511.97937, 378.0066
203176, Fight, 830
203319, Fight, 840
205070, Touch, 1644.9463, 149.00757
205188, Drop, 69
205942, Drop, 70
206114, Fight, 850
206936, Touch, 1369.953, 602.9846
207257, Fight, 860
208628, Touch, 763.938, 160.01587
209102, Drop, 71
209193, Drop, 72
209442, Fight, 870
210842, Touch, 1731.936, 254.0149
211225, Drop, 73
211227, Fight, 880
212230, Fight, 890
213699, Touch, 1073.9575, 795.99243
214023, Drop, 74
215711, Touch, 564.9591, 796.9812
216743, Drop, 75
216829, Drop, 76
218220, Touch, 540.97595, 833.99414
219273, Fight, 900
220394, Touch, 1105.935, 812.99927
220874, Drop, 77
221860, Touch, 701.94763, 630.99976
222549, Drop, 78
223465, Touch, 993.9459, 74.02588
224594, Fight, 910
225934, Touch, 1071.925, 165.02563
226529, Drop, 79
227614, Touch, 1088.93, 299.0039
227911, Fight, 920
229648, Touch, 1339.9402, 584.00024
230201, Drop, 80
231967, Touch, 2007.8778, 795.99243
233386, Drop, 81
234697, Drop, 82
235705, Touch, 1470.899, 833.0054
236745, Drop, 83
236945, Drop, 84
239392, Touch, 389.96338, 555.9851
240691, Drop, 85
241928, Touch, 517.9413, 852.9785
243317, Drop, 86
244318, Touch, 1888.9105, 707.99194
245286, Drop, 87
245934, Fight, 930
246018, Drop, 88
247291, Touch, 1280.9308, 469.00635
247628, Fight, 940
248976, Touch, 1437.9053, 739.00635
249822, Fight, 950
251538, Touch, 1857.8815, 101.01929
253368, Fight, 960
253450, Drop, 89
255218, Touch, 806.9586, 108.00659
255545, Drop, 90
255545, Fight, 970
255937, Drop, 91
256171, Drop, 92
257903, Touch, 648.9679, 171.02417
257980, Drop, 93
258736, Drop, 94
260157, Touch, 974.90845, 796.9812
260297, Fight, 980
261769, Touch, 656.9623, 543.98804
261990, Fight, 990
262671, Drop, 95
264649, Touch, 925.9259, 936.0022
264689, Drop, 96
264705, Touch, 925.9259, 936.0022
264833, Drop, 97
265028, Drop, 98
266250, Touch, 758.92456, 900.99976
267084, Fight, 1000
268132, Touch, 579.93164, 465.0183
269053, Drop, 99
270249, Touch, 766.91895, 949.9768
271273, Fight, 1010
272373, Touch, 1518.9331, 489.01245
272520, Drop, 100
273025, Fight, 1020
273842, Touch, 1306.9464, 787.9834
274185, Fight, 1030
274272, Fight, 1040
275860, Touch, 19.985962, 528.9917
278500, Drop, 101
279883, Touch, 954.9225, 651.9946
279950, Drop, 102
281542, Touch, 638.94104, 196.99585
282505, Drop, 103
284620, Touch, 1550.9106, 4.020996
285222, Drop, 104
286204, Fight, 1050
288322, Touch, 732.9767, 121.02539
288642, Drop, 105
288952, Fight, 1060
289026, Fight, 1070
289172, Fight, 1080
290495, Touch, 1519.9493, 178.01147
290944, Drop, 106
291022, Drop, 107
291775, Drop, 108
292565, Touch, 1039.9475, 190.99731
292982, Fight, 1090
294561, Touch, 1919.9396, 736.99585
295994, Fight, 1100
298018, Touch, 1978.8812, 443.99048
298242, Drop, 109
299386, Fight, 1110
299945, Drop, 110
301148, Touch, 1493.9337, 780.0073
302130, Drop, 111
304329, Touch, 820.9149, 1025.9802
305129, Drop, 112
305523, Drop, 113
307103, Touch, 1322.9352, 927.0044
307377, Drop, 114
307821, Fight, 1120
309186, Touch, 912.9181, 898.98926
309361, Fight, 1130
309524, Fight, 1140
311039, Touch, 891.9159, 896.97876
311303, Fight, 1150
311475, Drop, 115
312954, Touch, 553.916, 446.98975
313337, Drop, 116
313743, Fight, 1160
315006, Touch, 1482.8906, 254.0149
315777, Fight, 1170
317104, Touch, 120.93201, 622.9907
318989, Fight, 1180
320685, Touch, 1578.891, 30.025635
322121, Fight, 1190
322210, Fight, 1200
322500, Fight, 1210
324301, Touch, 1794.9426, 407.99927
325075, Drop, 117
325159, Drop, 118
326542, Touch, 355.95337, 121.02539
327758, Drop, 119
327760, Drop, 120
328089, Fight, 1220
328261, Fight, 1230
329264, Touch, 1119.9591, 257.01416
329591, Drop, 121
330733, Touch, 1677.9401, 446.98975
331787, Fight, 1240
333052, Touch, 471.9397, 360.99976
333657, Drop, 122
333792, Fight, 1250
335335, Touch, 73.98193, 684.9866
337544, Drop, 123
338961, Touch, 770.91614, 1008.9734
339989, Drop, 124
340074, Drop, 125
341592, Touch, 928.90686, 1068.9917
342123, Fight, 1260
342209, Fight, 1270
342285, Fight, 1280
342369, Fight, 1290
342448, Fight, 1300
342530, Fight, 1310
343944, Touch, 613.94165, 1021.9922
345104, Drop, 126
345213, Fight, 1320
345335, Fight, 1330
346766, Touch, 1369.953, 704.9927
346859, Fight, 1340
347470, Drop, 127
348812, Touch, 49.93103, 724.9988
349809, Fight, 1350
350725, Fight, 1360
350727, Fight, 1370
350992, Drop, 128
352205, Touch, 1178.9008, 109.02832
352506, Fight, 1380
352507, Fight, 1390
352588, Fight, 1400
352670, Fight, 1410
352944, Drop, 129
354795, Touch, 1666.897, 971.9934
355029, Drop, 130
355145, Drop, 131
356008, Drop, 132
357290, Touch, 269.97986, 566.00464
358693, Fight, 1420
360001, Touch, 1633.9032, 83.02368
361741, Drop, 133
363301, Touch, 564.9591, 114.00513
363911, Drop, 134
364558, Fight, 1430
366128, Touch, 1027.9559, 83.02368
366973, Fight, 1440
368407, Touch, 1030.9369, 83.02368
368534, Fight, 1450
369443, Fight, 1460
369513, Drop, 135
371353, Touch, 712.923, 504.0088
371664, Fight, 1470
372720, Touch, 1905.9155, 524.0149
374331, Touch, 1931.9312, 481.00342
375972, Fight, 1480
377773, Touch, 1510.9387, 799.98047
378897, Drop, 136
379928, Touch, 1652.9407, 601.0071
381340, Drop, 137
382272, Touch, 1457.8912, 542.99927
383009, Drop, 138
384061, Touch, 1036.9666, 208.00415
384557, Fight, 1490
