2, Touch, 1121.9238, 321.0205
8352, Touch, 1197.9382, 784.98413
8882, Fight, 10
8969, Touch, 1164.9445, 736.99585
9368, Fight, 20
14961, Touch, 1374.8987, 786.9946
14964, Touch, 1289.9414, 721.01074
14967, Touch, 1201.9354, 652.9834
14971, Touch, 1116.9104, 586.01074
20301, Touch, 1155.9338, 627.0117
20306, Touch, 1134.9316, 607.0056
20963, Touch, 1111.9647, 589.9988
20964, Touch, 1088.93, 572.0032
23465, Touch, 1082.9004, 593.9868
23501, Fight, 30
27017, Touch, 986.9678, 669.99023
30112, Touch, 1038.9313, 663.9917
30281, Drop, 1
33425, Touch, 1324.8999, 577.01294
34869, Touch, 1277.9498, 564.9829
34987, Drop, 2
35050, Touch, 1232.8967, 554.00757
35205, Drop, 3
40299, Touch, 1544.9487, 724.9988
40305, Touch, 1467.9181, 692.9956
40851, Touch, 1389.939, 660.99243
40852, Touch, 1311.9598, 628.0005
45287, Touch, 1216.908, 616.9922
45297, Touch, 1185.9467, 601.0071
45322, Touch, 1155.9338, 583.0115
48599, Touch, 1101.9379, 608.98315
48634, Fight, 40
54805, Touch, 1103.9026, 610.99365
54830, Drop, 4
61771, Touch, 1211.9623, 564.9829
61773, Touch, 1163.9282, 551.0083
61874, Drop, 5
61935, Drop, 6
67858, Touch, 977.95715, 345.01465
68232, Drop, 7
74986, Touch, 1108.916, 796.9812
75179, Touch, 1083.9166, 728.9868
75484, Drop, 8
82971, Touch, 1148.9557, 227.02148
82984, Touch, 1127.9535, 266.01196
83610, Touch, 1106.9513, 305.00244
83610, Touch, 1085.9491, 343.99292
91330, Touch, 1093.9435, 425.99487
92077, Drop, 9
92238, Touch, 1080.9357, 437.99194
92239, Touch, 1067.9279, 446.98975
92239, Touch, 1053.9038, 457.00928
96984, Touch, 885.954, 286.01807
96987, Touch, 901.94275, 316.01074
97045, Touch, 919.964, 346.9922
97285, Fight, 50
104911, Touch, 906.9562, 281.99707
104916, Touch, 919.964, 313.01147
104919, Touch, 933.9203, 343.99292
105000, Fight, 60
105718, Drop, 10
109080, Touch, 1318.938, 302.00317
109083, Touch, 1273.9526, 328.99658
114440, Touch, 1282.8955, 410.00977
114441, Touch, 1218.9404, 431.00464
114442, Touch, 1151.9366, 451.01074
117808, Touch, 1127.9535, 534.99023
117878, Fight, 70
122491, Touch, 1092.9272, 421.01807
122927, Drop, 11
123083, Touch, 1079.9194, 433.01514
123084, Touch, 1066.9116, 443.99048
126829, Touch, 695.91797, 645.9961
126994, Touch, 739.95483, 625.0012
127170, Drop, 12
130265, Touch, 862.9193, 648.99536
130491, Drop, 13
130752, Drop, 14
134907, Touch, 76.96289, 511.98486
135197, Touch, 353.98865, 507.00806
135199, Touch, 631.9629, 504.0088
135836, Fight, 80
139298, Touch, 438.94592, 566.9934
140011, Drop, 15
140374, Fight, 90
141068, Touch, 569.97253, 551.9971
141069, Touch, 699.91516, 536.01196
141070, Touch, 828.9093, 519.9939
144590, Touch, 422.95715, 489.01245
144731, Touch, 556.9647, 493.0005
145169, Fight, 100
148243, Touch, 1067.9279, 912.9968
154136, Touch, 1122.9401, 387.99316
154137, Touch, 1101.9379, 407.0105
157679, Touch, 1184.9304, 430.01587
157879, Drop, 16
161367, Touch, 1016.91284, 716.98975
161606, Drop, 17
164535, Touch, 1067.9279, 912.9968
165452, Drop, 18
173036, Touch, 781.9592, 943.9783
175739, Touch, 534.9463, 949.9768
176017, Fight, 110
181003, Touch, 1664.9323, 545.99854
181006, Touch, 1512.9034, 536.01196
181007, Touch, 1358.9099, 525.00366
181008, Touch, 1205.9326, 513.99536
184102, Touch, 1594.9475, 472.9944
184657, Drop, 19
190351, Touch, 876.94336, 339.0161
190352, Touch, 894.9646, 362.02148
190353, Touch, 912.9181, 384.00513
190354, Touch, 930.93933, 407.0105
193519, Touch, 889.9512, 346.9922
193691, Drop, 20
200596, Touch, 804.92615, 292.0166
200675, Touch, 833.9227, 321.0205
207266, Touch, 901.94275, 396.99097
207306, Drop, 21
221112, Touch, 1067.9279, 912.9968
223955, Touch, 1556.9403, 274.021
226100, Touch, 951.9415, 210.01465
226500, Drop, 22
227369, Touch, 959.9359, 252.0044
227371, Touch, 965.9656, 292.0166
233092, Touch, 678.91296, 515.0171
233878, Touch, 724.91455, 513.99536
233879, Touch, 770.91614, 510.00732
233918, Touch, 817.93396, 508.9856
234144, Fight, 120
234145, Fight, 130
240903, Touch, 970.91125, 733.9966
240909, Touch, 978.90564, 680.00977
241153, Touch, 985.95154, 625.0012
241207, Drop, 23
254831, Touch, 1906.9318, 569.9927
257050, Drop, 24
259152, Touch, 1858.8977, 387.99316
259154, Touch, 1601.9257, 419.99634
