13, Touch, 1206.9489, 293.99414
1910, Touch, 1363.9233, 787.9834
3097, Fight, 10
4486, Touch, 1142.384, 469.50073
4650, Fight, 20
6079, Touch, 797.948, 1057.9834
6707, Fight, 30
7028, Fight, 40
7417, Fight, 50
9552, Touch, 1019.4873, 628.98926
9707, Drop, 1
9709, Drop, 2
11266, Touch, 2083.892, 405.0
13708, Fight, 60
14058, Fight, 70
15497, Touch, 859.93835, 406.5161
15570, Drop, 3
15925, Fight, 80
18078, Touch, 1658.9026, 445.0122
19100, Fight, 90
19426, Fight, 100
21357, Touch, 1083.9166, 363.01025
21613, Drop, 4
21616, Fight, 110
24388, Touch, 1031.9531, 217.00195
24856, Fight, 120
26602, Touch, 1675.9076, 983.0017
28405, Fight, 130
29703, Touch, 1754.3948, 246.99463
30769, Drop, 5
31398, Drop, 6
32860, Touch, 1008.91846, 854.989
33211, Fight, 140
34765, Touch, 1423.949, 557.00684
35640, Fight, 150
37131, Touch, 683.9264, 596.9861
38237, Fight, 160
40234, Touch, 1381.9446, 805.979
40666, Drop, 7
40668, Fight, 170
41036, Drop, 8
42797, Touch, 664.95667, 468.01758
44164, Fight, 180
45382, Touch, 1059.9335, 764.978
45434, Fight, 190
47544, Touch, 808.92334, 737.9846
48304, Fight, 200
49985, Touch, 1035.4421, 142.02026
51036, Fight, 210
52473, Touch, 855.94116, 555.9851
53005, Fight, 220
54061, Touch, 719.9689, 595.00854
55108, Fight, 230
55677, Touch, 747.9492, 510.00732
56777, Fight, 240
58425, Touch, 863.93555, 81.01318
59689, Fight, 250
60723, Touch, 826.9446, 495.011
61270, Fight, 260
61519, Fight, 270
63288, Touch, 1456.9427, 1055.9729
65081, Drop, 9
66539, Touch, 954.9225, 883.9929
67495, Drop, 10
69093, Touch, 1392.9199, 734.98535
70108, Drop, 11
71575, Touch, 539.9597, 651.00586
73018, Drop, 12
73021, Fight, 280
73364, Fight, 290
74937, Touch, 1638.9166, 179.00024
76240, Fight, 300
77774, Touch, 1253.8989, 463.0078
78459, Drop, 13
